Date;Month;Year;Day;Hour;Grid;PV;Storage;C65B;C65
4/12/2014 17:00;12;2014;4;17;197.516728;0.022549553;-1.600000024;0.104444615;0.143694721
4/12/2014 18:00;12;2014;4;18;162.482944;0.022784744;-1.600000024;0.10441477;0.144796187
4/12/2014 19:00;12;2014;4;19;151.4862391;0.021517158;-1.600000024;0.104662775;0.144818794
4/12/2014 20:00;12;2014;4;20;143.4273486;0.021980638;-1.600000024;0.10479909;0.14472765
4/12/2014 21:00;12;2014;4;21;139.371035;0.021599343;-1.600000024;0.105198861;0.145226824
4/12/2014 22:00;12;2014;4;22;127.2065333;0.021558301;-1.600000024;0.105687215;0.146159681
4/12/2014 23:00;12;2014;4;23;104.186849;0.021549006;-1.600000024;0.104935645;0.144799134
5/12/2014 0:00;12;2014;5;0;99.73101095;0.020980581;-1.600000024;1.463994774;0.147293942
5/12/2014 1:00;12;2014;5;1;94.25724195;0.020667051;-1.600000024;1.469108552;0.147725113
5/12/2014 2:00;12;2014;5;2;92.46584917;0.020071935;-1.600000024;1.457166151;0.146635304
5/12/2014 3:00;12;2014;5;3;103.0972619;0.020595939;-1.600000024;1.459795058;0.14749104
5/12/2014 4:00;12;2014;5;4;96.32165324;0.020509174;-1.600000024;0.172327636;0.145985107
5/12/2014 5:00;12;2014;5;5;114.7829333;0.02001749;-1.600000024;0.107302775;0.144930747
5/12/2014 6:00;12;2014;5;6;128.1652262;0.020560701;-1.600000024;0.10715009;0.144770927
5/12/2014 7:00;12;2014;5;7;172.3688863;0.020960674;-1.600000024;0.10673541;0.144192877
5/12/2014 8:00;12;2014;5;8;185.9773343;-1.611762691;-1.600000024;0.105970365;0.143843003
5/12/2014 9:00;12;2014;5;9;223.674629;-7.721754487;-1.600000024;0.106274855;0.145352724
5/12/2014 10:00;12;2014;5;10;232.6804883;-15.44049031;-1.600000024;0.106550875;0.145936579
5/12/2014 11:00;12;2014;5;11;227.3495199;-31.10913159;-1.600000024;0.106812455;0.146099145
5/12/2014 12:00;12;2014;5;12;204.2762215;-33.73726935;-1.600000024;0.10664659;0.145114523
5/12/2014 13:00;12;2014;5;13;185.9792714;-11.24331174;-1.600000024;0.106402375;0.145570123
5/12/2014 14:00;12;2014;5;14;161.8626534;-14.99086995;-1.600000024;0.10622235;0.145260297
5/12/2014 15:00;12;2014;5;15;186.3358658;-5.296404022;-1.600000024;0.106068435;0.144679365
5/12/2014 16:00;12;2014;5;16;181.5732989;-0.449802004;-1.600000024;0.10589603;0.144106447
