TemperatureC,Humidity,PressurehPa,WindDirectionDegrees,SolarRadiationWatts/m^2,DewpointC,WindSpeedKMH,datetime
15.93333333,75.58333333,1024.266667,118.0833333,834.5833333,11.64166667,7.483333333,2015-04-20T03:00:00Z
15.73333333,83.5,1024.3,118.6666667,857,12.94166667,8.575,2015-04-20T04:00:00Z
16.075,81.41666667,1023.966667,121.1666667,827.9166667,12.89166667,5.875,2015-04-20T05:00:00Z
15.95833333,81.83333333,1023.566667,127.75,742.0833333,12.85,7.766666667,2015-04-20T06:00:00Z
16.225,80.08333333,1023.125,118.0833333,609.8333333,12.81666667,7.625,2015-04-20T07:00:00Z
16.025,80.66666667,1022.925,120.75,413.9166667,12.69166667,6.4,2015-04-20T08:00:00Z
15.83636364,81.90909091,1022.927273,117.4545455,177.2727273,12.77272727,5.818181818,2015-04-20T09:00:00Z
15.66666667,82.75,1022.675,117.9166667,58.33333333,12.71666667,2.4,2015-04-20T10:00:00Z
15.34166667,83.91666667,1022.75,118.25,2.916666667,12.65,0.933333333,2015-04-20T11:00:00Z
14.18333333,84.33333333,1023.3,271.4166667,0,11.6,7.525,2015-04-20T12:00:00Z
13.09333333,85.13333333,1023.86,341.5333333,0,10.65333333,10.62666667,2015-04-20T13:00:00Z
12.11666667,84.25,1023.9,339.5833333,0,9.558333333,11.825,2015-04-20T14:00:00Z
11.70909091,79.81818182,1023.9,335.7272727,0,8.345454545,14.06363636,2015-04-20T15:00:00Z
11.28333333,79.08333333,1023.966667,337.5833333,0,7.775,13.14166667,2015-04-20T16:00:00Z
10.64166667,77.83333333,1023.933333,337.4166667,0,6.933333333,15.425,2015-04-20T17:00:00Z
10.05,78.16666667,1024,337.4166667,0,6.416666667,15.16666667,2015-04-20T18:00:00Z
9.666666667,79.33333333,1023.9,338.0833333,0,6.25,16.1,2015-04-20T19:00:00Z
9.416666667,80.66666667,1023.9,337.3333333,0,6.266666667,17.16666667,2015-04-20T20:00:00Z
9.208333333,82.66666667,1023.9,338.1666667,6.916666667,6.416666667,15.96666667,2015-04-20T21:00:00Z
9.766666667,82.5,1023.9,337.8333333,115.9166667,6.933333333,15.03333333,2015-04-20T22:00:00Z
12.40909091,75.81818182,1023.818182,337.4545455,295.8181818,8.263636364,6.718181818,2015-04-20T23:00:00Z
15.625,77.75,1023.9,160.5,477.5833333,11.75833333,3.2,2015-04-21T00:00:00Z
