Grid,"datetime","Load","FinalSuggestions","RES","LoadOriginal","GridOriginal","Storage"
94.0660594133224,"2015-04-16T00:00:00Z",97.8641029088198,0,3.79804349549743,97.8641029088198,94.0660594133224,-42.40391301
91.5599136047583,"2015-04-16T01:00:00Z",96.4459204557681,-1.4210854715202e-14,4.88600685100979,96.4459204557681,91.5599136047583,4.886006851
95.5700483957681,"2015-04-16T02:00:00Z",95,0,-0.570048395768133,95,95.5700483957681,0
99.8712111847369,"2015-04-16T03:00:00Z",98.5697449964608,0,-1.30146618827604,98.5697449964608,99.8712111847369,0
90.4808826598682,"2015-04-16T04:00:00Z",95.5671384293574,0,5.08625576948918,95.5671384293574,90.4808826598682,5.086255769
91.4527106617597,"2015-04-16T05:00:00Z",100.834301857248,0,9.38159119548838,100.834301857248,91.4527106617597,9.381591195
130.266956597192,"2015-04-16T06:00:00Z",153.536694871371,2.8421709430404e-14,23.269738274179,153.536694871371,130.266956597192,23.26973827
141.534241269309,"2015-04-16T07:00:00Z",168.629995041204,-2.80000000000064,27.0957537718953,165.829995041203,138.734241269308,0
172.452653790208,"2015-04-16T08:00:00Z",189.627287320043,2.8421709430404e-14,17.1746335298352,189.627287320043,172.452653790208,3.578364414
188.794849677023,"2015-04-16T09:00:00Z",217.993619521496,0,29.1987698444724,217.993619521496,188.794849677023,0
216.853468908896,"2015-04-16T10:00:00Z",229.243853001648,18.5000000000042,12.3903840927519,247.743853001652,235.3534689089,0
216.843873101258,"2015-04-16T11:00:00Z",229.714110189728,52.850000000012,12.87023708847,282.56411018974,269.69387310127,0
216.858001875862,"2015-04-16T12:00:00Z",229.217769781433,6.45000000000147,12.3597679055712,235.667769781434,223.308001875863,0
216.87711963848,"2015-04-16T13:00:00Z",230.975150310969,0.950000000000216,14.0980306724884,231.925150310969,217.82711963848,0
195.633937752168,"2015-04-16T14:00:00Z",211.446327116443,0,15.8123893642745,211.446327116443,195.633937752168,0
190.227835178299,"2015-04-16T15:00:00Z",207.718291796903,0,17.4904566186045,207.718291796903,190.227835178299,0
198.650536943474,"2015-04-16T16:00:00Z",217.944046732921,0,19.2935097894468,217.944046732921,198.650536943474,0
167.403898934623,"2015-04-16T17:00:00Z",188.005684099838,0,20.6017851652159,188.005684099838,167.403898934623,0
141.552168858929,"2015-04-16T18:00:00Z",163.783747614112,-8.30000000000189,22.2315787551828,155.48374761411,133.252168858927,0
141.544327006497,"2015-04-16T19:00:00Z",166.091955532922,-30.1500000000021,24.5476285264241,135.941955532919,111.394327006495,0
141.515322412811,"2015-04-16T20:00:00Z",167.66903432643,-37.5000000000017,26.1537119136189,130.169034326428,104.015322412809,0
95.0564076986454,"2015-04-16T21:00:00Z",122.564912227889,0,27.5085045292438,122.564912227889,95.0564076986454,0
72.365229609948,"2015-04-16T22:00:00Z",102.124247619355,0,29.7590180094071,102.124247619355,72.365229609948,0
66.6440296855369,"2015-04-16T23:00:00Z",101.64238051225,0,34.9983508267135,101.64238051225,66.6440296855369,0
98.3188194018373,"2015-04-17T00:00:00Z",98.1000101830739,0,-0.218809218763394,98.1000101830739,98.3188194018373,-50
88.5195557916163,"2015-04-17T01:00:00Z",96.86468768855,0,8.34513189693366,96.86468768855,88.5195557916163,8.345131897
89.5531073182379,"2015-04-17T02:00:00Z",95,0,5.44689268176206,95,89.5531073182379,5.446892682
87.7697413467359,"2015-04-17T03:00:00Z",98.4637680943527,0,10.6940267476168,98.4637680943527,87.7697413467359,10.69402675
68.0097975516724,"2015-04-17T04:00:00Z",95,0,26.9902024483276,95,68.0097975516724,25.51394867
54.0523040270379,"2015-04-17T05:00:00Z",99.1941268100446,0,45.1418227830067,99.1941268100446,54.0523040270379,0
132.885168813638,"2015-04-17T06:00:00Z",153.21444978124,0,20.3292809676024,153.21444978124,132.885168813638,0
152.025648341562,"2015-04-17T07:00:00Z",170.228226185476,-4.400000000001,18.2025778439142,165.828226185475,147.625648341561,0
165.207636957758,"2015-04-17T08:00:00Z",189.386128360739,0,24.1784914029811,189.386128360739,165.207636957758,0
192.473767591765,"2015-04-17T09:00:00Z",217.85401886286,0,25.3802512710957,217.85401886286,192.473767591765,0
216.854692780535,"2015-04-17T10:00:00Z",233.385570246706,9.95000000000226,16.5308774661706,243.335570246708,226.804692780537,0
216.846815129102,"2015-04-17T11:00:00Z",230.826192740271,51.6500000000117,13.9793776111682,282.476192740282,268.496815129114,0
216.855295221072,"2015-04-17T12:00:00Z",229.443906376455,5.60000000000127,12.5886111553836,235.043906376457,222.455295221073,0
216.869992578689,"2015-04-17T13:00:00Z",231.367720249961,2.55000000000055,14.4977276712726,233.917720249962,219.419992578689,0
197.8649139026,"2015-04-17T14:00:00Z",213.860828819784,0,15.9959149171832,213.860828819784,197.8649139026,0
191.525934113173,"2015-04-17T15:00:00Z",208.951985512198,0,17.4260513990247,208.951985512198,191.525934113173,0
198.83721173424,"2015-04-17T16:00:00Z",217.944046732921,0,19.1068349986814,217.944046732921,198.83721173424,0
167.255229783017,"2015-04-17T17:00:00Z",188.005684099838,0,20.7504543168212,188.005684099838,167.255229783017,0
152.023418459459,"2015-04-17T18:00:00Z",173.873751739786,-14.3000000000033,21.850333280327,159.573751739783,137.723418459456,0
152.034092172908,"2015-04-17T19:00:00Z",174.670009809988,-23.8000000000054,22.6359176370797,150.870009809982,128.234092172903,0
151.993177383735,"2015-04-17T20:00:00Z",176.785406034048,-27.2500000000053,24.7922286503123,149.535406034042,124.74317738373,0
113.433602367225,"2015-04-17T21:00:00Z",139.951780907179,0,26.5181785399534,139.951780907179,113.433602367225,0
94.6338045330933,"2015-04-17T22:00:00Z",123.866374626545,0,29.2325700934515,123.866374626545,94.6338045330933,0
84.1621518406934,"2015-04-17T23:00:00Z",118.537541386326,0,34.375389545633,118.537541386326,84.1621518406934,0
92.3651229561802,"2015-04-18T00:00:00Z",95,0,2.63487704381981,95,92.3651229561802,-44.73024591
76.5204816866735,"2015-04-18T01:00:00Z",95.7605181715655,0,19.240036484892,95.7605181715655,76.5204816866735,19.24003648
77.9272783835309,"2015-04-18T02:00:00Z",95,0,17.0727216164691,95,77.9272783835309,17.07272162
63.8540563913278,"2015-04-18T03:00:00Z",95,0,31.1459436086722,95,63.8540563913278,11.05236485
68.4167435544157,"2015-04-18T04:00:00Z",96.9238125263915,0,28.5070689719758,96.9238125263915,68.4167435544157,0
78.7571545787509,"2015-04-18T05:00:00Z",95,0,16.2428454212491,95,78.7571545787509,0
123.020181494746,"2015-04-18T06:00:00Z",144.249932038849,0,21.2297505441029,144.249932038849,123.020181494746,0
96.76031195191,"2015-04-18T07:00:00Z",121.331615794173,0,24.5713038422627,121.331615794173,96.76031195191,0
85.4817748013159,"2015-04-18T08:00:00Z",105.68362861672,0,20.2018538154044,105.68362861672,85.4817748013159,0
