"Grid","datetime","Load","FinalSuggestions","RES"
115.828260463975,"2015-04-18T07:00:00Z",120.277591091109,0,4.44933062713411
103.836637559628,"2015-04-18T08:00:00Z",113.152193089229,0,9.31555552960158
78.2807320288411,"2015-04-18T09:00:00Z",102.152496401303,0,23.8717643724622
81.7552363924108,"2015-04-18T10:00:00Z",109.142388990085,0,27.3871525976739
63.9023996210593,"2015-04-18T11:00:00Z",114.338828944105,0,50.4364293230452
73.3477442822686,"2015-04-18T12:00:00Z",107.648708530025,0,34.3009642477568
67.5269634372075,"2015-04-18T13:00:00Z",111.898451711099,0,44.3714882738913
23.6042578095293,"2015-04-18T14:00:00Z",97.4969844228029,0,73.8927266132737
0,"2015-04-18T15:00:00Z",96.4592117073018,0,105.342426203746
58.1108605070442,"2015-04-18T16:00:00Z",107.572148194244,0,40.5780731907551
68.1518495659175,"2015-04-18T17:00:00Z",103.519930214403,0,35.3680806484859
66.4680661325215,"2015-04-18T18:00:00Z",99.33319791093,0,32.8651317784084
72.7874577155262,"2015-04-18T19:00:00Z",101.264875693897,0,28.4774179783706
71.8671070014178,"2015-04-18T20:00:00Z",100.061474200623,0,28.1943671992055
72.3446033604888,"2015-04-18T21:00:00Z",99.2437201437149,0,26.8991167832261
66.6930568283631,"2015-04-18T22:00:00Z",95,0,28.3069431716369
64.8037966754186,"2015-04-18T23:00:00Z",95,0,30.1962033245814
101.958301820171,"2015-04-19T00:00:00Z",95,0,-6.95830182017143
100.514767229527,"2015-04-19T01:00:00Z",95,0,-5.51476722952726
98.8534775537578,"2015-04-19T02:00:00Z",95,0,-3.85347755375781
97.1875530693471,"2015-04-19T03:00:00Z",95,0,-2.1875530693471
100.149927983331,"2015-04-19T04:00:00Z",99.1051345101062,0,-1.04479347322469
97.6710998154138,"2015-04-19T05:00:00Z",97.4645009797143,0,-0.206598835699504
143.511478204139,"2015-04-19T06:00:00Z",145.434590734635,0,1.92311253049599
117.460365875377,"2015-04-19T07:00:00Z",121.095520588789,0,3.63515471341151
106.1983417476,"2015-04-19T08:00:00Z",117.346126528884,0,11.1477847812842
83.8088457838389,"2015-04-19T09:00:00Z",107.569075823879,0,23.7602300400399
76.7409824251825,"2015-04-19T10:00:00Z",114.731280964238,0,37.9902985390559
25.9868877588058,"2015-04-19T11:00:00Z",106.788703118195,0,80.8018153593897
51.2542348184572,"2015-04-19T12:00:00Z",119.897151773649,0,68.6429169551916
23.6324635538805,"2015-04-19T13:00:00Z",116.083896249595,0,92.4514326957148
25.7722220130814,"2015-04-19T14:00:00Z",104.38210427409,0,78.6098822610089
57.2040686656859,"2015-04-19T15:00:00Z",100.244317485307,0,43.0402488196214
62.8211013385778,"2015-04-19T16:00:00Z",105.333392306823,0,42.5122909682457
48.6475652513052,"2015-04-19T17:00:00Z",95,0,46.3524347486948
54.2878623072985,"2015-04-19T18:00:00Z",95,0,40.7121376927015
72.1089224243272,"2015-04-19T19:00:00Z",104.041785289599,0,31.9328628652721
76.6019584671055,"2015-04-19T20:00:00Z",104.245089343247,0,27.6431308761417
78.9001027176307,"2015-04-19T21:00:00Z",104.422390668944,0,25.5222879513135
68.0300063763739,"2015-04-19T22:00:00Z",95,0,26.9699936236261
66.8301190858979,"2015-04-19T23:00:00Z",95.8259707318384,0,28.9958516459405
107.167173081328,"2015-04-20T00:00:00Z",99.3846165327603,0,-7.78255654856779
105.614811914674,"2015-04-20T01:00:00Z",99.4030220401308,0,-6.211789874543
100.301068221332,"2015-04-20T02:00:00Z",95,0,-5.30106822133236
101.692919240975,"2015-04-20T03:00:00Z",98.1320062332628,0,-3.56091300771204
99.6151771453473,"2015-04-20T04:00:00Z",97.832553229175,0,-1.78262391617227
99.0600418336225,"2015-04-20T05:00:00Z",98.3840339114696,0,-0.676007922152933
151.867751096557,"2015-04-20T06:00:00Z",153.365008644719,0,1.49725754816274
162.889195903477,"2015-04-20T07:00:00Z",166.687856504335,0,3.79866060085808
153.953930373335,"2015-04-20T08:00:00Z",188.051134033227,0,34.0972036598925
137.445169123951,"2015-04-20T09:00:00Z",204.652463404917,0,67.2072942809653
147.196777127063,"2015-04-20T10:00:00Z",235.24986122422,0,88.0530840971577
139.632024029074,"2015-04-20T11:00:00Z",251.599166972052,0,111.967142942979
93.1079501911989,"2015-04-20T12:00:00Z",208.972753206118,0,115.86480301492
77.4810964377222,"2015-04-20T13:00:00Z",204.614388828022,0,127.1332923903
41.2367879832732,"2015-04-20T14:00:00Z",172.385884888327,0,131.149096905054
64.4864622316641,"2015-04-20T15:00:00Z",184.577003596335,0,120.090541364671
60.1655554676673,"2015-04-20T16:00:00Z",157.556797286733,0,97.3912418190652
37.8307637392886,"2015-04-20T17:00:00Z",119.340036359174,0,81.509272619885
55.6022426153521,"2015-04-20T18:00:00Z",109.446458341456,0,53.844215726104
84.8318788069714,"2015-04-20T19:00:00Z",117.869240303925,0,33.0373614969536
88.1398744108332,"2015-04-20T20:00:00Z",115.917071166687,0,27.777196755854
92.4032755951907,"2015-04-20T21:00:00Z",118.665716681855,0,26.2624410866639
81.4317518734086,"2015-04-20T22:00:00Z",109.497919597802,0,28.066167724393
82.5002469153347,"2015-04-20T23:00:00Z",112.580530312168,0,30.0802833968333
108.402855533312,"2015-04-21T00:00:00Z",101.517669716533,0,-6.8851858167789
106.446305858231,"2015-04-21T01:00:00Z",101.224792062342,0,-5.2215137958896
98.7559440280243,"2015-04-21T02:00:00Z",95,0,-3.75594402802431
100.192152263671,"2015-04-21T03:00:00Z",98.0300798311516,0,-2.1620724325197
98.1939707076296,"2015-04-21T04:00:00Z",97.974303649186,0,-0.219667058443614
96.020134062069,"2015-04-21T05:00:00Z",96.889253563296,0,0.869119501226988
150.038365883684,"2015-04-21T06:00:00Z",153.02741719824,0,2.98905131455574
161.894213474579,"2015-04-21T07:00:00Z",166.779782169505,0,4.88556869492631
151.478628757399,"2015-04-21T08:00:00Z",187.259907699804,0,35.7812789424049
143.179074847733,"2015-04-21T09:00:00Z",210.803805658922,0,67.624730811189
154.739408002737,"2015-04-21T10:00:00Z",243.459398245376,0,88.719990242639
